"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","DamCohort"
"1",0,0.0198622406506148,0,1,-0.0287014120313838,-0.00969028807543785,"13",52,9,230
"2",0,0.0198622406506148,0,1,-0.0526972907688918,0.0387821369228472,"36",163,4,341
"3",0,0.0198622406506148,1,1,-0.0191030605363907,-0.0210926124920982,"40",274,11,452
"4",0,0.0198622406506148,1,1,-0.0143038847888906,-0.0250823506470019,"41",385,12,472
"5",0,0.0198622406506148,1,1,-0.0143038847888906,-0.0250823506470019,"42",405,12,483
"6",0,0.0198622406506148,0,1,-0.0382997635263913,0.00627583381702288,"60",416,7,494
"7",0,0.0198622406506148,0,1,-0.0430989392738914,0.0159703188166798,"84",427,6,505
"8",0,0.0198622406506148,0,1,-0.0239022362838909,-0.015961924968244,"86",438,10,516
"9",0,0.0198622406506148,1,1,-0.0143038847888906,-0.0250823506470019,"88",449,12,527
"10",0,0.0198622406506148,1,1,-0.0047055332938903,-0.0296389788499571,"90",53,14,130
"11",0,0.0198622406506148,1,1,-0.00950470904139044,-0.0279311394329548,"114",64,13,141
"12",3,0.0198622406506148,0,0,-0.0574964665163919,0.0518994700293546,"126",75,3,152
"13",0,0.0198622406506148,1,1,-0.00950470904139044,-0.0279311394329548,"135",86,13,163
"14",8,0.0198622406506148,0,1,-0.028701412031391,-0.00969028807543901,"154",97,9,174
"15",0,0.0198622406506148,1,1,0.00969199394861013,-0.02791680088726,"162",108,17,185
"16",0,0.0198622406506148,0,1,-0.0239022362838909,-0.015961924968244,"176",119,10,196
"17",0,0.0198622406506148,1,1,-0.0143038847888906,-0.0250823506470019,"179",130,12,207
"18",0,0.0198622406506148,1,1,-0.0191030605363907,-0.0210926124920982,"222",141,11,218
"19",1,0.0198622406506148,0,0,-0.0670948180113922,0.0815569843492245,"236",152,1,229
"20",1,0.0198622406506148,0,0,-0.062295642263892,0.0661577525048142,"237",164,2,241
