"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","DamCohort"
"1",0,0,0.875,1,-0.0101007274416629,-0.00181881453062709,1,183,15,395
"2",0,0,0.875,0,-0.0101007274416626,-0.00181881453052944,2,183,15,395
"3",0,0,0.875,1,-0.0101007274416626,-0.00181881453052682,3,183,15,395
"4",0,0,0.875,0,-0.0101007274416626,-0.00181881453052679,4,183,15,395
"5",0,0,0.875,1,-0.0101007274416626,-0.00181881453052679,5,183,15,395
"6",0,0,0.875,0,-0.0101007274416626,-0.00181881453052679,6,183,15,395
"7",0,0,0.875,1,-0.0101007274416626,-0.00181881453052679,7,84,15,166
"8",13,0,0.875,1,-0.0101007274416626,-0.00181881453052679,8,84,15,166
"9",0,0,0.875,0,-0.0101007274416626,-0.00181881453052679,9,84,15,166
"10",0,0,0.875,1,-0.0101007274416626,-0.00181881453052679,10,84,15,166
"11",16,0,0.875,0,-0.0101007274416626,-0.00181881453052679,11,84,15,166
"12",0,0,0.875,0,-0.0101007274416626,-0.00181881453052679,12,84,15,166
"13",0,0,1,1,-0.0101007274416626,-0.00181881453052679,13,124,15,264
"14",0,0,1,0,-0.0101007274416626,-0.00181881453052679,14,124,15,264
"15",7,0,1,0,-0.0101007274416626,-0.00181881453052679,15,124,15,264
"16",0,0,1,1,-0.0101007274416626,-0.00181881453052679,16,124,15,264
"17",0,0,1,0,-0.0101007274416626,-0.00181881453052679,17,142,15,300
"18",0,0,1,1,-0.0101007274416626,-0.00181881453052679,18,142,15,300
"19",0,0,1,0,-0.0101007274416626,-0.00181881453052679,19,142,15,300
"20",0,0,1,1,-0.0101007274416626,-0.00181881453052679,20,142,15,300
"21",0,0,1,0,-0.0101007274416626,-0.00181881453052679,21,142,15,300
"22",0,0,1,1,-0.0101007274416626,-0.00181881453052679,22,143,15,307
"23",0,0,1,0,-0.0101007274416626,-0.00181881453052679,23,143,15,307
"24",0,0,1,1,-0.0101007274416626,-0.00181881453052679,24,143,15,307
"25",0,0,1,0,-0.0101007274416626,-0.00181881453052679,25,143,15,307
"26",0,0,1,1,-0.0101007274416626,-0.00181881453052679,26,143,15,307
"27",0,0,1,0,-0.0101007274416626,-0.00181881453052679,27,143,15,307
"28",0,0,0.8125,1,-0.0101007274416626,-0.00181881453052679,28,129,15,276
"29",0,0,0.8125,0,-0.0101007274416626,-0.00181881453052679,29,129,15,276
"30",0,0,0.8125,1,-0.0101007274416626,-0.00181881453052679,30,129,15,276
"31",0,0,0.8125,0,-0.0101007274416626,-0.00181881453052679,31,129,15,276
"32",0,0,1,1,-0.0101007274416626,-0.00181881453052679,32,153,15,331
"33",0,0,1,0,-0.0101007274416626,-0.00181881453052679,33,153,15,331
"34",0,0,0.8125,1,-0.0101007274416626,-0.00181881453052679,34,129,15,276
"35",0,0,1,0,-0.0101007274416626,-0.00181881453052679,35,153,15,331
"36",0,0,1,1,-0.0101007274416626,-0.00181881453052679,36,153,15,331
"37",0,0,1,0,-0.0101007274416626,-0.00181881453052679,37,153,15,331
"38",0,0,1,1,-0.0101007274416626,-0.00181881453052679,38,153,15,331
"39",0,0,1,0,-0.0101007274416626,-0.00181881453052679,39,123,15,259
"40",0,0,1,1,-0.0101007274416626,-0.00181881453052679,40,123,15,259
"41",0,0,1,0,-0.0101007274416626,-0.00181881453052679,41,123,15,259
"42",0,0,1,1,-0.0101007274416626,-0.00181881453052679,42,123,15,259
"43",0,0,1,0,-0.0101007274416626,-0.00181881453052679,43,196,15,420
"44",0,0,1,1,-0.0101007274416626,-0.00181881453052679,44,196,15,420
"45",0,0,1,0,-0.0101007274416626,-0.00181881453052679,45,196,15,420
"46",0,0,1,1,-0.0101007274416626,-0.00181881453052679,46,196,15,420
"47",0,0,1,0,-0.0101007274416626,-0.00181881453052679,47,196,15,420
"48",0,0,1,1,-0.0101007274416626,-0.00181881453052679,48,207,15,448
"49",0,0,1,0,-0.0101007274416626,-0.00181881453052679,49,207,15,448
"50",0,0,1,1,-0.0101007274416626,-0.00181881453052679,50,196,15,420
"51",0,0,1,0,-0.0101007274416626,-0.00181881453052679,51,207,15,448
"52",0,0,1,1,-0.0101007274416626,-0.00181881453052679,52,207,15,448
"53",0,0,1,0,-0.0101007274416626,-0.00181881453052679,53,196,15,420
