"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","DamCohort"
"1",0,0,0,1,-0.0338816961564172,0.0292028517682188,"1",170,12,865
"2",0,0,0,1,-0.0338816961564174,0.029202851768216,"2",281,12,976
"3",0,0,0.25,1,-0.0118018575876961,-0.0140630636741509,"3",798,24,1882
"4",0,0,0.25,0,-0.00996187104030262,-0.0154629586122838,"4",798,25,1883
"5",0,0,0.25,0,-0.00812188449290917,-0.0165235307788169,"5",798,26,1884
"6",0,0,0.25,0,-0.00628189794551573,-0.0172447801737503,"6",798,27,1885
"7",3,0,0.25,0,-0.00260192485072885,-0.017669310648818,"7",798,29,1886
"8",0,0.03125,0.375,1,-0.000761938303335406,-0.0173725917289524,"8",798,30,1887
"9",1,0,0,0,-0.00260192485072885,-0.017669310648818,"9",882,29,2260
"10",33,0,0.5,1,0.0213179002653859,0.0126552114942115,"10",790,42,1853
"11",0,0.0078125,0.4375,0,0.0102779809810252,-0.00846650000616487,"11",674,36,1374
"12",0,0,0.3125,1,0.0121179675284187,-0.00579452168510137,"12",674,37,1375
"13",3,0.0234375,0.1875,0,0.0139579540758121,-0.00278322059243817,"13",674,38,1376
"14",3,0,0.203125,0,0.0157979406232056,0.000567403271824714,"14",674,39,1377
"15",0,0,0.203125,1,0.017637927170599,0.00425734990768729,"15",674,40,1378
"16",0,0,0.5625,1,0.0213179002653859,0.0126552114942115,"16",674,42,1379
"17",0,0,0,1,-0.0357216827038108,0.0350139427371472,"17",392,11,1087
"18",0,0,0.28125,0,0.00659800788623836,-0.0127924883334928,"18",818,34,1977
"19",2,0,0.53125,1,0.0102779809810252,-0.00846650000616487,"19",818,36,1978
"20",0,0,1,1,-0.0228417768720567,0.0014620841582393,"20",503,18,1162
"21",2,0.00390625,0.375,0,0.0286778464549597,0.0335228079264563,"21",930,46,2428
"22",4,0,0.4375,0,0.0102779809810252,-0.00846650000616487,"22",930,36,2421
"23",0,0,0.5625,1,0.0139579540758121,-0.00278322059243817,"23",930,38,2422
"24",5,0,0.3125,0,0.0157979406232056,0.000567403271824714,"24",930,39,2423
"25",1,0,0.6875,0,0.017637927170599,0.00425734990768729,"25",930,40,2424
"26",0,0,0.5625,1,0.0194779137179925,0.00828661931514956,"26",930,41,2425
"27",2,0,0.6875,0,0.0231578868127793,0.0173631264448732,"27",930,43,2426
"28",10,0,0.3125,1,0.0249978733601728,0.0224103641671345,"28",930,44,2427
"29",0,0,0,1,-0.0302017230616305,0.01859863814516,"29",578,14,1173
"30",3,0,0,0,-0.00996187104030262,-0.0154629586122838,"30",20,25,50
"31",2,0,0,0,-0.00628189794551573,-0.0172447801737503,"31",20,27,51
"32",1,0,0,0,-0.00260192485072885,-0.017669310648818,"32",20,29,52
"33",0,0,0,0,0.00107804824405804,-0.016736550037487,"33",20,31,53
"34",0,0,0,1,-0.0320417096090239,0.0237310835708894,"34",589,13,1184
"35",0,0,0,0,0.00107804824405804,-0.016736550037487,"35",8,31,19
"36",0,0,0,1,-0.0338816961564174,0.0292028517682185,"36",600,12,1195
"37",0,0,0,1,-0.0320417096090239,0.0237310835708894,"37",611,13,1206
"38",0,0,0,1,0.00107804824405804,-0.016736550037487,"38",727,31,1590
"39",3,0,0.25,1,0.00291803479145148,-0.015761185574422,"39",727,32,1591
"40",9,0,0,0,0.00659800788623836,-0.0127924883334928,"40",727,34,1592
"41",5,0,0.25,0,0.0084379944336318,-0.0107991555556287,"41",727,35,1593
