"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","DamCohort"
"1",0,0,0,0,-0.0513342034516895,0.0766428718649529,"66",269,1,745
"2",0,0,0,1,-0.0513342034516886,0.0766428718649952,"67",296,1,756
"3",0,0,0,1,-0.0513342034516887,0.0766428718649957,"68",307,1,767
"4",0,0,0,1,-0.0513342034516887,0.0766428718649957,"69",318,1,778
"5",0,0,0,1,-0.0513342034516887,0.0766428718649957,"70",329,1,789
"6",0,0,0,1,-0.0513342034516887,0.0766428718649957,"71",340,1,800
"7",0,0,0,0,-0.0513342034516887,0.0766428718649957,"72",351,1,811
"8",0,0,0,0,-0.0513342034516887,0.0766428718649957,"73",362,1,822
"9",3,0,0,0,-0.0513342034516887,0.0766428718649957,"74",373,1,833
"10",0,0,0,1,-0.0513342034516887,0.0766428718649957,"75",270,1,729
"11",0,0,0,1,-0.0513342034516887,0.0766428718649957,"76",281,1,736
"12",0,0,0,1,-0.0513342034516887,0.0766428718649957,"77",288,1,737
"13",0,0,0,1,-0.0513342034516887,0.0766428718649957,"78",289,1,738
"14",0,0,0,0,-0.0513342034516887,0.0766428718649957,"79",290,1,739
"15",0,0,0,0,-0.0513342034516887,0.0766428718649957,"80",291,1,740
"16",0,0,0,1,-0.0513342034516887,0.0766428718649957,"81",292,1,741
"17",0,0,0,1,-0.0513342034516887,0.0766428718649957,"82",293,1,742
"18",0,0,0,1,-0.0513342034516887,0.0766428718649957,"83",294,1,743
"19",0,0,0,1,-0.0513342034516887,0.0766428718649957,"84",295,1,744
"20",0,0,0,1,-0.0513342034516887,0.0766428718649957,"85",297,1,746
"21",0,0,0,1,-0.0513342034516887,0.0766428718649957,"86",298,1,747
"22",0,0,0,0,-0.0513342034516887,0.0766428718649957,"87",299,1,748
"23",0,0,0,0,-0.0513342034516887,0.0766428718649957,"88",300,1,749
"24",0,0,0,0,-0.0513342034516887,0.0766428718649957,"89",301,1,750
"25",0,0,0,1,-0.0513342034516887,0.0766428718649957,"90",302,1,751
"26",13,0,0,0,-0.0513342034516887,0.0766428718649957,"91",303,1,752
"27",0,0,0,1,-0.0513342034516887,0.0766428718649957,"92",304,1,753
"28",8,0,0,0,-0.0513342034516887,0.0766428718649957,"93",305,1,754
"29",0,0,0,1,-0.0513342034516887,0.0766428718649957,"94",306,1,755
"30",0,0,0,0,-0.0513342034516887,0.0766428718649957,"95",308,1,757
"31",0,0,0,0,-0.0513342034516887,0.0766428718649957,"96",309,1,758
"32",0,0,0,1,-0.0513342034516887,0.0766428718649957,"97",310,1,759
"33",0,0,0,0,-0.0513342034516887,0.0766428718649957,"98",311,1,760
"34",0,0,0,0,-0.0513342034516887,0.0766428718649957,"99",312,1,761
"35",0,0,0,0,-0.0513342034516887,0.0766428718649957,"100",313,1,762
"36",0,0,0,0,-0.0513342034516887,0.0766428718649957,"101",314,1,763
"37",0,0,0,0,-0.0513342034516887,0.0766428718649957,"102",315,1,764
"38",0,0,0,0,-0.0513342034516887,0.0766428718649957,"103",316,1,765
"39",0,0,0,1,-0.0513342034516887,0.0766428718649957,"109",317,1,766
"40",0,0,0,1,-0.0513342034516887,0.0766428718649957,"136",319,1,768
"41",0,0,0,0,-0.0472290346321475,0.0606103524823258,"7",320,2,769
"42",0,0,0,1,-0.0472290346321475,0.0606103524823258,"8",321,2,770
"43",0,0,0,0,-0.0472290346321475,0.0606103524823258,"9",322,2,771
"44",34,0,0,0,-0.0472290346321475,0.0606103524823258,"10",323,2,772
"45",3,0,0,0,-0.0472290346321475,0.0606103524823258,"11",324,2,773
"46",0,0,0,1,-0.0472290346321475,0.0606103524823258,"110",325,2,774
"47",0,0,0,1,-0.0472290346321475,0.0606103524823258,"111",326,2,775
"48",0,0,0,0,-0.0472290346321475,0.0606103524823258,"112",327,2,776
"49",0,0,0,0,-0.0472290346321475,0.0606103524823258,"113",328,2,777
"50",0,0,0,0,-0.0472290346321475,0.0606103524823258,"114",330,2,779
"51",0,0,0,1,-0.0472290346321475,0.0606103524823258,"115",331,2,780
"52",0,0,0,0,-0.0472290346321475,0.0606103524823258,"116",332,2,781
"53",0,0,0,0,-0.0472290346321475,0.0606103524823258,"117",333,2,782
"54",0,0,0,1,-0.0472290346321475,0.0606103524823258,"1",14,2,45
"55",0,0,0,1,-0.0472290346321475,0.0606103524823258,"2",14,2,45
"56",0,0,0,0,-0.0472290346321475,0.0606103524823258,"3",13,2,42
"57",0,0,0,1,-0.0472290346321475,0.0606103524823258,"4",13,2,42
"58",19,0,0,0,-0.0472290346321475,0.0606103524823258,"5",13,2,42
"59",0,0,0,0,-0.0472290346321475,0.0606103524823258,"6",13,2,42
"60",0,0,0,1,-0.0431238658126064,0.0460652096399111,"12",2,3,6
"61",39,0,0,0,-0.0431238658126064,0.0460652096399111,"13",2,3,6
"62",0,0,0,0,-0.0431238658126064,0.0460652096399111,"14",2,3,6
"63",4,0,0,0,-0.0431238658126064,0.0460652096399111,"15",3,3,15
"64",0,0,0,1,-0.0431238658126064,0.0460652096399111,"16",3,3,15
"65",15,0,0,0,-0.0431238658126064,0.0460652096399111,"17",3,3,15
"66",3,0,0,0,-0.0431238658126064,0.0460652096399111,"18",14,3,46
"67",2,0,0,0,-0.0431238658126064,0.0460652096399111,"118",14,3,46
"68",0,0,0,0,-0.0431238658126064,0.0460652096399111,"119",14,3,46
"69",4,0,0,0,-0.0431238658126064,0.0460652096399111,"120",14,3,46
"70",0,0,0,1,-0.0431238658126064,0.0460652096399111,"121",14,3,46
"71",0,0,0,0,-0.0431238658126064,0.0460652096399111,"122",12,3,41
"72",0,0,0,1,-0.0431238658126064,0.0460652096399111,"123",12,3,41
"73",2,0,0,0,-0.0431238658126064,0.0460652096399111,"124",12,3,41
"74",0,0,0,1,-0.0431238658126064,0.0460652096399111,"125",1,3,1
"75",0,0,0,0,-0.0431238658126064,0.0460652096399111,"126",1,3,1
"76",5,0,0,0,-0.0431238658126064,0.0460652096399111,"127",1,3,1
"77",0,0,0,1,-0.0431238658126064,0.0460652096399111,"128",1,3,1
"78",0,0,0,0,-0.0431238658126064,0.0460652096399111,"129",13,3,43
"79",0,0,0,1,-0.0431238658126064,0.0460652096399111,"130",13,3,43
"80",4,0,0,0,-0.0431238658126064,0.0460652096399111,"131",13,3,43
"81",0,0,0,1,-0.0431238658126064,0.0460652096399111,"132",13,3,43
