"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"1",0,0,0.5,0,-0.0241188619003273,0.00655420066156906,2,80,7,26,204,407
"2",0,0,0.5,1,-0.0275368176485361,0.0152916793182341,3015,80,6,26,203,406
"3",0,0,0.5,1,-0.0275368176485363,0.0152916793182313,3119,80,6,26,203,406
"4",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,3201,80,7,26,204,407
"5",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,3,80,7,26,204,407
"6",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,97,80,7,26,204,407
"7",0,0,0.5,1,-0.0275368176485363,0.0152916793182314,186,81,6,26,208,409
"8",0,0,0.5,0,-0.0275368176485363,0.0152916793182314,296,81,6,26,208,409
"9",0,0,0.5,1,-0.0275368176485363,0.0152916793182314,403,81,6,26,208,409
"10",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,505,80,7,26,204,407
"11",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,607,80,7,26,205,407
"12",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,661,80,7,26,205,407
"13",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,768,80,7,26,205,407
"14",0,0,0,0,-0.0241188619003214,0.00655420066155076,870,80,7,26,205,407
"15",0,0,0,1,-0.0241188619003214,0.00655420066155076,973,80,7,26,206,407
"16",0,0,0,0,-0.0241188619003214,0.00655420066155076,1069,80,7,26,206,407
"17",0,0,0,1,-0.0241188619003214,0.00655420066155076,1157,80,7,26,206,407
"18",0,0,0,0,-0.0241188619003214,0.00655420066155076,1177,80,7,26,206,407
"19",0,0,0,0,-0.0138649946556768,-0.0122917333119508,1334,87,10,25,233,424
"20",0,0,0,0,-0.0138649946556768,-0.0122917333119508,1428,87,10,25,233,424
"21",0,0,0.5,1,-0.0138649946556768,-0.0122917333119508,1616,87,10,25,232,424
"22",0,0,0,0,-0.0104470389074619,-0.0161182106376045,1714,86,11,25,230,422
"23",0,0,0,1,-0.0104470389074619,-0.0161182106376045,1819,86,11,25,230,422
"24",0,0,0,0,-0.0104470389074619,-0.0161182106376045,1923,86,11,25,230,422
"25",0,0,0,1,-0.0104470389074619,-0.0161182106376045,2021,86,11,25,230,422
"26",0,0,0,0,-0.034372729144966,0.0364498876298628,2122,27,4,27,379,271
"27",0,0,0,0,-0.034372729144966,0.0364498876298628,2154,28,4,27,381,281
"28",0,0,0,0,-0.034372729144966,0.0364498876298628,2208,28,4,27,381,281
"29",0,0,0,0,-0.034372729144966,0.0364498876298628,2308,27,4,27,379,271
"30",68,0,0,0,-0.034372729144966,0.0364498876298628,2416,27,4,27,379,271
"31",0,0,0,0,-0.034372729144966,0.0364498876298628,2479,28,4,27,380,281
"32",5,0,0,0,-0.034372729144966,0.0364498876298628,2558,28,4,27,84,281
"33",19,0,0,0,-0.034372729144966,0.0364498876298628,2662,28,4,27,84,281
"34",0,0,0,0,-0.034372729144966,0.0364498876298628,2711,28,4,27,84,281
"35",4,0,0,0,-0.0309547733967511,0.0252569083076687,2732,28,5,27,85,282
"36",27,0,0,0,-0.0309547733967511,0.0252569083076687,2743,28,5,27,85,282
"37",9,0,0,0,-0.0309547733967511,0.0252569083076687,2752,28,5,27,85,282
"38",5,0,0,0,-0.0309547733967511,0.0252569083076687,2759,28,5,27,87,282
"39",0,0,0,0,-0.0309547733967511,0.0252569083076687,2770,28,5,27,87,282
"40",2,0,0,0,-0.0309547733967511,0.0252569083076687,2781,28,5,27,87,282
"41",6,0,0,0,-0.0275368176485363,0.0152916793182314,2792,28,6,27,19,283
"42",0,0,0,0,-0.0275368176485363,0.0152916793182314,2803,28,6,27,88,283
"43",0,0,0,0,-0.0275368176485363,0.0152916793182314,2814,28,6,27,88,283
"44",0,0,0,0,-0.0275368176485363,0.0152916793182314,2825,28,6,27,89,283
"45",1,0,0,0,-0.0275368176485363,0.0152916793182314,2832,28,6,27,89,283
"46",2,0,0,0,-0.0241188619003214,0.00655420066155076,2843,28,7,27,90,284
"47",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,2854,7,7,27,38,423
"48",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,2865,6,7,27,36,402
"49",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,2876,7,7,27,38,423
"50",5,0,0.5,0,-0.0241188619003214,0.00655420066155076,2887,9,7,27,44,17
"51",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,2897,9,7,27,44,17
"52",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,2908,28,7,27,91,284
"53",1,0,0.5,0,-0.0241188619003214,0.00655420066155076,2919,28,7,27,91,284
"54",0,0,0.5,0,-0.0241188619003214,0.00655420066155076,2929,9,7,27,45,17
