"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","DamCohort"
"1",0,0,0,0,-0.0450012361345521,0.0596933540012109,"10",262,1,410
"2",5,0,0,1,-0.0450012361345604,0.0596933540012062,"11",359,1,421
"3",2,0,0,0,-0.0450012361345605,0.0596933540012081,"13",370,1,432
"4",5,0,0,1,-0.0450012361345605,0.0596933540012083,"14",381,1,443
"5",3,0,0,1,-0.0450012361345605,0.0596933540012083,"15",392,1,454
"6",8,0,0,0,-0.0450012361345605,0.0596933540012083,"16",403,1,465
"7",0,0,0,1,-0.0450012361345605,0.0596933540012083,"17",414,1,476
"8",1,0,0,0,-0.0450012361345605,0.0596933540012083,"19",425,1,487
"9",3,0,0,0,-0.0450012361345605,0.0596933540012083,"20",436,1,498
"10",2,0,0,0,-0.0450012361345605,0.0596933540012083,"21",263,1,324
"11",5,0,0,1,-0.0450012361345605,0.0596933540012083,"22",274,1,335
"12",4,0,0,1,-0.0450012361345605,0.0596933540012083,"23",285,1,346
"13",5,0,0,1,-0.0450012361345605,0.0596933540012083,"24",296,1,357
"14",4,0,0,0,-0.0450012361345605,0.0596933540012083,"25",307,1,368
"15",1,0,0,0,-0.0450012361345605,0.0596933540012083,"27",318,1,379
"16",10,0,0,0,-0.0450012361345605,0.0596933540012083,"28",329,1,390
"17",15,0,0,1,-0.0450012361345605,0.0596933540012083,"29",340,1,401
"18",2,0,0,0,-0.0450012361345605,0.0596933540012083,"31",351,1,408
"19",2,0,0,0,-0.0450012361345605,0.0596933540012083,"32",358,1,409
"20",0,0,0,0,-0.0450012361345605,0.0596933540012083,"33",360,1,411
"21",3,0,0,0,-0.0450012361345605,0.0596933540012083,"34",361,1,412
"22",4,0,0,1,-0.0450012361345605,0.0596933540012083,"35",362,1,413
"23",4,0,0,0,-0.0450012361345605,0.0596933540012083,"36",363,1,414
"24",2,0,0,0,-0.0450012361345605,0.0596933540012083,"37",364,1,415
"25",3,0,0,0,-0.0450012361345605,0.0596933540012083,"38",365,1,416
"26",7,0,0,1,-0.0450012361345605,0.0596933540012083,"40",366,1,417
"27",2,0,0,0,-0.0450012361345605,0.0596933540012083,"42",367,1,418
"28",4,0,0,0,-0.0450012361345605,0.0596933540012083,"46",368,1,419
"29",2,0,0,0,-0.0450012361345605,0.0596933540012083,"47",369,1,420
"30",5,0,0,0,-0.0450012361345605,0.0596933540012083,"48",371,1,422
"31",9,0,0,1,-0.0450012361345605,0.0596933540012083,"50",372,1,423
"32",2,0,0,0,-0.0450012361345605,0.0596933540012083,"51",373,1,424
"33",9,0,0,1,-0.0450012361345605,0.0596933540012083,"52",374,1,425
"34",3,0,0,1,-0.0450012361345605,0.0596933540012083,"55",375,1,426
"35",1,0,0,0,-0.0450012361345605,0.0596933540012083,"56",376,1,427
"36",1,0,0,1,-0.0450012361345605,0.0596933540012083,"57",377,1,428
"37",14,0,0,1,-0.0450012361345605,0.0596933540012083,"58",378,1,429
"38",4,0,0,0,-0.0450012361345605,0.0596933540012083,"69",379,1,430
"39",4,0,0,0,-0.0450012361345605,0.0596933540012083,"70",380,1,431
"40",7,0,0,0,-0.0450012361345605,0.0596933540012083,"74",382,1,433
"41",3,0,0,0,-0.0450012361345605,0.0596933540012083,"77",383,1,434
"42",6,0,0,1,-0.0450012361345605,0.0596933540012083,"78",384,1,435
"43",8,0,0,1,-0.0450012361345605,0.0596933540012083,"79",385,1,436
"44",13,0,0,0,-0.0450012361345605,0.0596933540012083,"91",386,1,437
"45",6,0,0,0,-0.0450012361345605,0.0596933540012083,"95",387,1,438
"46",0,0,0,1,-0.0450012361345605,0.0596933540012083,"100",388,1,439
"47",3,0,0,0,-0.0450012361345605,0.0596933540012083,"111",389,1,440
