Study,Species,Population,Trait,juv_trait,h2_1,c2_1,h2_2,m2_2,c2_2,Source
1,Soay Sheep,wild,Birth weight,1,0.091,0.201,0.079,0.077,0.14, T S4 and S5
1,Soay Sheep,wild,Lamb Foreleg,1,0.155,0.063,0.14,0.033,0.039, T S4 and S5
1,Soay Sheep,wild,Lamb Hindleg,1,0.196,0.068,0.161,0.068,0.022, T S4 and S5
1,Soay Sheep,wild,Lamb Weight,1,0.116,0.1,0.066,0.095,0.032, T S4 and S5
1,Soay Sheep,wild,Lamb Metacarpal,1,0.509,0.081,0.402,0.139,0, T S4 and S5
1,Soay Sheep,wild,Lamb Jaw,1,0.303,0.145,0.203,0.141,0.048, T S4 and S5
1,Soay Sheep,wild,Yearling Foreleg,0,0.157,0.092,0.108,0.078,0.029, T S4 and S5
1,Soay Sheep,wild,Yearling Hindleg,0,0.307,0.168,0.271,0.094,0.093, T S4 and S5
1,Soay Sheep,wild,Yearling Weight,0,0.19,0.099,0.156,0.062,0.055, T S4 and S5
1,Soay Sheep,wild,Yearling Metacarpal,0,0.618,0,0.618,0,0, T S4 and S5
1,Soay Sheep,wild,Yearling Jaw,0,0.672,0.089,0.672,0,0.09, T S4 and S5
1,Soay Sheep,wild,Adult Foreleg,0,0.296,0.005,0.286,0.021,0, T S4 and S5
1,Soay Sheep,wild,Adult Hindleg,0,0.458,0.063,0.426,0.077,0.015, T S4 and S5
1,Soay Sheep,wild,Adult Weight,0,0.273,0.057,0.246,0.082,0, T S4 and S5
1,Soay Sheep,wild,Adult Metacarpal,0,0.631,0.018,0.61,0.032,0, T S4 and S5
1,Soay Sheep,wild,Adult Jaw,0,0.677,0.01,0.677,0,0.01, T S4 and S5
2,Soay Sheep,wild,Birth date,1,,,0.07,0.69,,T 1
2,Soay Sheep,wild,Birth weight,1,,,0.16,0.25,,T 1
2,Soay Sheep,wild,Lamb Foreleg,1,,,,0.13,,T 1
2,Soay Sheep,wild,Lamb Hindleg,1,,,,0.14,,T 1
2,Soay Sheep,wild,Lamb weight,1,,,,0.2,,T 1
3,Soay Sheep,wild,Birth weight,1,,,0.014,0.169,0.029,T 2
3,Soay Sheep,wild,Birth date,1,,,0.032,0.255,0.138,T 2
3,Soay Sheep,wild,August weight,1,,,0.036,0.135,0.004,T 2
4,Soay Sheep,wild,Birth weight,1,0.116,0.214,0.114,0.165,0.108,T 1
4,Soay Sheep,wild,Birth date,1,0.127,0.316,0.072,0.315,0.065,T 1
4,Soay Sheep,wild,Natal litter size,1,0.077,0.252,0.109,0.211,0.142,T 1
5,Red Squirrels,wild,Female LRS,0,0.00068,0.08,0.0005,0.02,0.03,T 1 in both
5,Red Squirrels,wild,Lifespan,0,,,0.00058,0.04,0.05,T 1
5,Red Squirrels,wild,Mean ARS,0,,,0.00052,0.05,0.04,T 1
5,Red Squirrels,wild,AFB,0,,,0.0001,0.06,0.07,T 1
6,Roe Deer,wild,Juvenile body mass,1,0.1,0.12,0.05,0,0.11,T 1 and 2
6,Roe Deer,wild,Juvenile body mass,1,0.53,0.08,0.44,0.23,0,T 1 and 2
7,Red Deer,wild,Birth weight,1,0.134,0.37,0.041,0.429,0.035,F 5
8,Red Deer,wild,Birth weight,1,0.221,0.353,0.177,0.307,0.081,T 2
8,Red Deer,wild,Birth leg,1,0.38,0.169,0.335,0.17,0.001,T 2
8,Red Deer,wild,Neonatal survival,1,0.038,0,0.022,0.021,0,T 2
8,Red Deer,wild,Survival age 1,1,0.063,0.032,0.051,0.026,0,T 2
8,Red Deer,wild,Survival age 2,0,0.047,0.031,0.052,0.026,0,T 2
8,Red Deer,wild,Female AFR,0,0.164,0.001,0.001,0.001,0.001,T 2
8,Red Deer,wild,Female ABS,0,0.04,0,0.04,0,0,T 2
8,Red Deer,wild,Male ABS,0,0.014,0,0.018,0,0,T 2
8,Red Deer,wild,Adult longevity,0,0.188,0.001,0.13,0.001,0.001,T 2
8,Red Deer,wild,Jaw,0,0.5,0,0.447,0.001,0,T 2
8,Red Deer,wild,Endocranial volume,0,0.776,0.001,0.629,0.001,0,T 2
8,Red Deer,wild,Leg,0,0.583,0.001,0.502,0.001,0.001,T 2
9,Red Deer,wild,Anti-Tc IgA,1,,,0.0331,0.4199,0.1768,SM
9,Red Deer,wild,Total IgA,1,,,0.0423,0.3615,0.0769,SM
9,Red Deer,wild,Anti-Tc IgM,1,,,0.0588,0.3137,0.1569,SM
9,Red Deer,wild,Total IgM,1,,,0.0361,0.3144,0.1186,SM
9,Red Deer,wild,Anti-Tc IgG,1,,,0.0192,0.2692,0.2885,SM
9,Red Deer,wild,Total IgG,1,,,0,0.0862,0,SM
10,Bighorn Sheep,wild,June weight age 0,1,,,0.000017,0.197,,T 3
10,Bighorn Sheep,wild,June weight age 1,0,,,0.447,0.135,,T 3
11,Bighorn Sheep,wild,Boldness,0,,,0.39,0,,T 1
12,American Bellflower,breeding design,Seed mass,0,,,0.064,0,0.694,T 1
12,American Bellflower,breeding design,Days to germination,0,,,0.361,0.303,,T 1
12,American Bellflower,breeding design,Rosette size,0,,,0.243,0.26,,T 1
12,American Bellflower,breeding design,Days to flower,0,,,0.426,0.433,0.168,T 1
12,American Bellflower,breeding design,Biomass,0,,,0.368,0.133,,T 1
13,Squirrel Monkeys,managed,Female neonate mass,1,0.1901,0.3182,0.0916,0.3441,0.0574,T 2
13,Squirrel Monkeys,managed,Male neonate mass,1,0.1588,0.2562,0.1208,0.2396,0.0762,T 2
14,Cuvier's gazelle,managed,Juvenile survival,1,0.067,0.247,0.115,0.136,0.18,T 2
