ID	Sire	Dam
2489	NA	21
2487	NA	21
2488	4115	21
2356	NA	25
4516	4059	31
4514	NA	31
4515	NA	31
3153	591	32
3154	257	32
3155	4059	32
2572	4476	39
2571	5350	39
3873	5351	40
5328	3528	42
5327	NA	42
5329	2488	42
5326	4632	42
1756	1448	44
1759	2457	44
1758	5350	44
1755	NA	44
1757	4688	44
1842	184	45
149	4507	47
148	1451	47
196	1665	54
1490	3696	59
1415	3696	59
4260	NA	59
4258	1460	59
4259	4712	59
67	NA	60
66	NA	60
3601	NA	61
1145	4688	81
1152	4259	81
1151	4259	81
1146	3328	81
1150	4259	81
1148	3323	81
1153	4259	81
1147	2457	81
1149	4839	81
1875	NA	82
1874	4839	82
1877	2685	82
1873	3570	82
1876	4259	82
1024	4839	83
1026	1992	83
1023	4839	83
1025	4259	83
1027	4843	83
3359	512	85
3361	2075	85
3358	147	85
3360	4408	85
3357	1709	85
3356	3274	85
4897	NA	88
4894	NA	88
4893	502	88
4896	3817	88
4895	3132	88
2891	1435	91
3072	NA	96
1019	NA	97
1016	912	97
1017	NA	97
1018	NA	97
4915	3992	102
4917	1401	102
4916	NA	102
1569	NA	104
1570	NA	104
3310	1489	106
2939	NA	108
1525	NA	114
1526	NA	114
1528	NA	114
1527	NA	114
4943	861	115
4942	NA	115
62	NA	116
61	NA	116
63	NA	116
60	NA	116
59	NA	116
2392	NA	117
117	NA	121
115	NA	121
118	NA	121
116	NA	121
114	NA	121
119	NA	121
120	NA	121
2971	NA	128
2972	NA	128
2637	NA	135
2635	NA	135
2636	912	135
2634	NA	135
1718	5332	137
1719	1665	137
2402	NA	145
3266	NA	151
163	2302	158
162	3994	158
77	NA	160
111	2672	178
110	NA	178
112	2381	178
709	769	183
712	2451	183
711	4196	183
710	769	183
708	NA	183
155	1174	191
160	2302	191
157	1461	191
154	3573	191
156	2630	191
159	3994	191
158	4800	191
3712	1491	192
3711	3992	192
3710	NA	192
3714	184	192
3713	2302	192
1760	NA	199
4410	5118	206
4412	5046	206
4409	1961	206
4415	193	206
4411	1910	206
4414	4073	206
4413	4843	206
2100	2581	207
2101	201	207
2097	2538	207
2102	2347	207
2098	2460	207
2099	1110	207
2104	257	207
2103	257	207
2096	3312	207
2359	4089	216
2357	1873	216
2360	NA	216
2358	4754	216
2567	4754	217
2568	4832	217
2569	NA	217
2623	4089	218
2624	NA	218
3401	2544	219
1188	NA	222
1190	5037	222
1189	NA	222
1187	512	222
2606	NA	223
2607	1564	223
665	NA	224
664	5037	224
666	5037	224
86	1149	232
89	NA	232
88	1617	232
87	28	232
85	1705	232
5095	3323	247
5094	4925	247
5091	5320	247
5088	2142	247
5093	4925	247
5090	3836	247
5089	1880	247
5092	5320	247
3512	3836	248
3513	4928	248
3505	2882	248
3511	4656	248
3507	3836	248
3510	3836	248
3506	177	248
3508	3836	248
3509	NA	248
3311	3836	251
3312	3836	251
3313	3836	251
3316	1844	251
3314	4656	251
3315	4196	251
2937	3989	252
2936	4839	252
2938	1177	252
2933	NA	252
2935	4656	252
2934	4925	252
242	NA	256
4693	2627	270
4694	349	270
4692	3838	270
4142	3838	272
584	905	277
583	2460	277
585	905	277
580	2215	277
586	1147	277
590	1872	277
587	NA	277
582	4158	277
581	3528	277
588	80	277
589	4800	277
2575	3872	279
2577	2376	279
2576	2100	279
3884	905	280
3880	3312	280
3881	5133	280
3882	565	280
3883	2376	280
969	NA	282
966	NA	282
964	NA	282
970	NA	282
967	NA	282
965	28	282
971	NA	282
968	NA	282
1887	NA	285
1886	NA	285
3003	4677	294
3005	NA	294
3004	NA	294
3000	193	294
3002	1795	294
3001	5133	294
3007	NA	294
3006	1446	294
2199	3496	295
2198	4945	295
2469	2767	301
2464	NA	301
2467	1042	301
2465	NA	301
2466	NA	301
2468	4304	301
2470	3893	301
756	NA	310
759	3128	310
755	NA	310
753	711	310
754	565	310
758	540	310
757	4445	310
3145	NA	316
3150	3126	316
3146	4158	316
3148	711	316
3147	3527	316
3149	912	316
1080	2672	322
1076	3836	322
1078	1880	322
1079	3837	322
1077	4566	322
1073	NA	322
1075	4304	322
1074	2142	322
320	NA	327
318	NA	327
319	NA	327
323	NA	327
321	NA	327
324	NA	327
322	4303	327
1956	2527	332
1955	1908	332
1963	257	332
1957	5046	332
1959	1110	332
1962	1702	332
1960	NA	332
1958	NA	332
1961	4839	332
430	NA	340
428	2184	340
431	NA	340
429	1598	340
825	NA	351
824	NA	351
822	NA	351
826	3515	351
823	NA	351
4788	1483	358
357	NA	358
349	2142	364
352	NA	364
353	NA	364
345	NA	364
350	4746	364
351	4873	364
356	NA	364
355	NA	364
348	NA	364
347	NA	364
354	NA	364
346	NA	364
2530	2493	367
2529	NA	367
2531	1478	367
2534	4313	367
2528	NA	367
2527	2899	367
2533	4115	367
2532	2827	367
4059	3836	370
4058	NA	370
4057	NA	370
371	4746	374
367	695	374
364	1767	374
366	NA	374
372	NA	374
368	NA	374
369	5297	374
365	NA	374
363	NA	374
370	NA	374
303	NA	375
301	NA	375
305	NA	375
304	5289	375
300	NA	375
302	NA	375
306	NA	375
762	NA	376
766	NA	376
767	4304	376
769	1117	376
765	4401	376
764	1481	376
770	4566	376
768	NA	376
760	1449	376
763	1505	376
761	NA	376
1545	NA	379
1544	NA	379
1546	3554	379
2251	4925	380
2248	4925	380
2249	4925	380
2241	2833	380
2242	3832	380
2250	4656	380
2246	4566	380
2243	5297	380
2247	5320	380
2245	4566	380
2240	NA	380
2244	4566	380
382	NA	383
380	1754	383
381	NA	383
376	1126	383
379	695	383
2319	1507	383
378	NA	383
377	NA	383
375	NA	383
358	1446	384
413	NA	393
414	4703	393
415	510	393
4545	NA	410
3648	5136	416
3642	591	416
3644	1642	416
3646	1617	416
3643	4023	416
3645	28	416
3647	4059	416
2545	28	417
2543	1617	417
2539	4059	417
2546	4059	417
2544	1642	417
2540	4059	417
2542	4023	417
2541	NA	417
2390	4023	418
2391	28	418
2387	591	418
2389	4023	418
2388	4023	418
424	NA	434
425	NA	434
423	NA	434
4620	NA	435
4621	NA	435
2828	NA	448
2827	NA	448
2831	250	448
2830	NA	448
2829	1880	448
3775	NA	455
3780	NA	455
3776	NA	455
3774	NA	455
3778	NA	455
3777	NA	455
3779	NA	455
475	2651	461
473	NA	461
474	NA	461
472	NA	461
2718	NA	465
2719	NA	465
2721	NA	465
2722	NA	465
2717	NA	465
2720	NA	465
4817	NA	466
4819	NA	466
4820	NA	466
4816	4346	466
4818	484	466
496	NA	468
497	NA	468
498	NA	468
3175	NA	477
3171	NA	477
3174	NA	477
3173	NA	477
3172	NA	477
3170	NA	477
477	3184	481
478	NA	481
476	NA	481
2455	3301	486
2457	4712	486
2459	NA	486
2456	NA	486
2460	3837	486
2462	3696	486
2458	3387	486
2461	2631	486
4523	1767	506
4530	NA	506
4527	1022	506
4522	1767	506
4528	NA	506
4526	NA	506
4524	4600	506
4529	1480	506
4525	NA	506
458	NA	507
455	4008	507
459	NA	507
460	5071	507
457	NA	507
456	NA	507
507	NA	511
506	NA	511
509	4600	511
508	NA	511
557	NA	511
4284	2236	520
4283	1445	520
4282	3245	520
4285	2390	520
838	4064	535
835	2200	535
836	2899	535
837	5071	535
2772	4677	541
2773	NA	541
280	4843	547
270	1906	547
274	1174	547
275	3837	547
271	2767	547
276	1910	547
277	1899	547
273	3874	547
279	5046	547
272	3837	547
278	1910	547
1537	1899	548
1539	769	548
1532	NA	548
1538	3323	548
1540	5046	548
1536	4925	548
1534	4925	548
1541	4259	548
1531	2767	548
1533	5320	548
1535	1094	548
1542	NA	548
3281	NA	558
3282	5289	558
3284	5289	558
3283	NA	558
3285	NA	558
3279	NA	558
3280	NA	558
1860	NA	559
1859	NA	559
1855	NA	559
1858	NA	559
1857	NA	559
1861	NA	559
1862	NA	559
1856	1754	559
2496	4008	560
2492	NA	560
2493	1734	560
2497	NA	560
2501	NA	560
2499	4873	560
2494	NA	560
2502	NA	560
2500	4566	560
2495	NA	560
2491	NA	560
2498	NA	560
546	5289	562
553	5320	562
549	4566	562
554	5320	562
555	5320	562
545	NA	562
547	5297	562
550	4566	562
551	NA	562
548	2767	562
552	2767	562
564	NA	566
3641	1126	566
558	NA	566
562	4401	566
559	4600	566
560	1126	566
561	1767	566
563	NA	566
5024	162	568
5023	1873	568
575	NA	576
704	NA	578
707	NA	578
703	NA	578
705	NA	578
702	NA	578
706	1457	578
4976	905	582
4977	3274	582
4980	3964	582
4981	NA	582
4975	5126	582
4979	4332	582
4978	NA	582
3198	NA	586
3199	912	586
1975	4675	588
1973	5161	588
1978	193	588
1971	2215	588
1972	257	588
1974	1943	588
1976	3529	588
1977	4500	588
3888	1943	589
3788	3994	599
3789	4800	599
3786	1446	599
3785	2157	599
3787	4800	599
3784	1110	599
3783	257	599
3402	4725	601
3403	2878	601
3404	3994	601
3405	4552	601
1061	NA	603
2752	1448	604
607	NA	612
609	NA	612
611	NA	612
610	NA	612
606	2209	612
605	NA	612
608	NA	612
3445	3893	615
3448	4839	615
3447	NA	615
3446	1094	615
3449	NA	615
3444	3893	615
4020	NA	616
4019	275	616
4015	201	616
4016	201	616
4012	NA	616
4017	NA	616
4014	2627	616
4013	3837	616
4018	1899	616
1099	NA	617
1746	NA	626
1749	NA	626
1747	2058	626
1750	2530	626
1748	NA	626
4723	3837	628
4724	NA	628
4725	3992	628
197	NA	629
4672	1494	633
4671	342	633
5160	4839	636
5162	257	636
5155	3893	636
5157	1174	636
5158	3874	636
5161	4115	636
5156	3837	636
5159	201	636
1154	NA	646
267	NA	659
268	4144	659
269	2077	659
266	2589	659
4368	2077	661
4369	NA	661
3223	NA	670
653	2605	674
655	NA	674
652	NA	674
651	3894	674
654	NA	674
2139	NA	675
908	275	678
901	3737	678
906	3100	678
902	1775	678
903	1125	678
907	257	678
904	5046	678
905	5046	678
4481	1974	688
4480	3817	688
2610	4688	696
2609	4688	696
2612	2477	696
2611	3527	696
2613	946	696
2864	1972	697
2865	NA	697
2863	NA	697
