relative,relative_mother,r1,r2,r3 f-rm,r4 r-m
dam,maternal GM,0.5,0.5,0.25,1
sire,paternal GM,0.5,0,0.25,0
FS,Mother,0.5,1,0.5,0.5
Maternal HS,Mother,0.25,1,0.5,0.5
Paternal HS,unrelated,0.25,0,0,0
Maternal GP,maternal great GM,0.25,0.25,0.125,0.25
Paternal GP,paternal great GM,0.25,0,0.125,0
Maternal AU (FS),maternal GM,0.25,0.5,0.25,0.5
Paternal AU (FS),paternal GM,0.25,0,0.25,0
Maternal AU (PHS),unrelated,0.125,0,0,0.25
Paternal AU (MHS),paternal GM,0.125,0,0.25,0
Maternal AU (MHS),maternal GM,0.125,0.25,0.25,0.25
Paternal AU (PHS),unrelated,0.125,0,0,0
Paternal cousin (sires FS),unrelated,0.125,0,0,0
Maternal cousin (dams FS),Maternal full aunt,0.125,0.5,0.25,0.25
cousin_DS_FS,unrelated,0.125,0,0,0.25
cousin_SD_FS,Paternal full aunt,0.125,0,0.25,0
cousin_S_HS,unrelated,0.0625,0,0,0
cousin_D_HS,Maternal half aunt,0.0625,0.25,0.125,0.125
cousin_DS_HS,unrelated,0.0625,0,0,0.125
cousin_SD_HS,Paternal half aunt,0.0625,0,0.125,0
