Code,Mum,Dad
D0153,*,*
D0148,*,*
D0149,*,*
D0150,*,*
D0033,*,*
D0032,*,*
D0031,*,*
D0610,*,BRLGS
D0151,*,*
D0529,*,*
D0152,*,*
D0145,*,*
D0154,*,*
D0155,*,*
D0156,*,*
D0157,*,*
D0611,*,SLIPP
D0612,*,LIT76
D0613,*,CHEST
D0614,*,CHEST
D0158,SEY92,*
PRRLS,*,*
D0603,*,ARIST
D0035,*,*
D0595,*,AVO87
VALEN,*,*
D0596,FEN89,LENNY
D0034,*,*
D0597,*,DIC90
D0598,*,SPD00
D0599,*,CAY03
D0600,*,ART00
D0147,*,*
D0602,*,*
D0146,*,*
D0604,*,*
D0605,*,*
D0606,*,*
JOANO,*,*
D0607,*,*
D0608,*,D0612
D0609,*,*
MICHE,*,*
D0615,*,FAN85
D0601,*,*
D0166,*,*
D0030,*,*
D0165,*,*
M3590,*,*
M3495,*,*
DARKE,*,*
D0315,*,*
D0314,*,*
M3390,*,*
M3290,*,*
D0163,*,*
M2690,*,*
D0162,*,*
M1490,*,*
M1390,*,*
D0313,*,*
D0167,WHI76,*
D0312,*,*
D0311,*,*
DDDDD,*,*
D0168,*,*
M1183,*,*
M3190,*,*
D0324,*,*
D0037,*,*
D0616,*,DSA99
D0617,*,RPP06
D0618,*,*
D0330,*,*
D0329,*,*
D0328,*,*
D0327,*,*
D0326,*,*
D0164,*,*
D0325,*,*
D0159,*,*
D0323,*,*
D0322,*,*
D0321,*,*
D0320,*,*
D0319,*,*
D0318,*,*
D0317,*,*
D0161,*,*
D0316,*,*
D0160,*,*
D0560,*,FEE73
D0568,*,*
D0549,*,SLITS
D0550,*,*
D0551,MOPRX,ZUC95
D0552,*,*
D0296,*,*
D0554,*,SWA98
D0556,*,*
D0557,*,*
D0547,*,*
D0559,*,*
D0546,*,*
D0561,*,*
D0133,*,*
D0134,*,*
D0562,*,*
D0563,*,*
D0564,*,*
D0565,*,*
D0566,*,WAX85
D0594,DHA94,YECOA
D0558,*,*
D0541,*,*
D0530,*,YHO76
D0531,*,HAL88
D0533,*,TUS97
D0534,*,CRT77
D0535,*,CHE82
D0536,D0535,PEP85
D0537,*,DIL99
D0538,*,BLO78
D0046,*,*
D0548,D0538,*
D0540,D0525,LIC76
D0569,*,*
D0542,*,*
D0543,*,*
D0544,*,*
D0132,*,*
SGAOR,*,*
D0045,*,*
D0044,*,*
D0043,*,*
D0545,*,*
D0539,*,*
D0144,*,*
D0567,*,*
D0138,*,*
D0139,*,*
MOBGG,*,*
D0140,*,*
D0589,*,*
D0590,*,*
D0141,*,*
POPES,*,*
GUINE,*,*
D0143,*,*
D0588,*,BAR82
D0042,*,*
D0041,*,*
D0040,*,*
D0591,*,YHO72
D0592,*,CHE75
D0593,ALM80,PRK83
D0039,*,*
D0038,*,*
D0310,*,*
D0142,*,*
D0580,*,*
D0570,*,D0604
D0571,SEY92,*
D0572,*,*
D0573,*,*
D0574,*,*
D0575,*,*
D0576,*,*
D0577,*,LIC76
D0135,*,*
D0137,*,*
D0579,*,*
D0036,*,*
D0581,*,*
D0582,*,*
D0583,*,*
D0584,*,GEC97
MOCTT,*,*
D0136,*,*
D0585,*,*
D0586,*,*
D0587,*,ANK87
D0578,*,*
D0236,*,*
D0230,ALM80,*
D0245,*,*
D0019,*,*
D0244,*,*
D0243,*,*
D0242,*,*
