"bird_id","dam","sire","social_male","social_male_dummy"
"X551491","L002125","L002178","L002178","L002178"
"X551492","X551051","X551236","X551236","X551236"
"X551495","X551051","X551236","X551236","X551236"
"X551496","X551051","X551236","X551236","X551236"
"X551489","X551051","X551236","X551236","X551236"
"X551494","L002125","P865490","L002178","L002178"
"X551490","L002117","X552076","X552076","X552076"
"X551488","X551051","X551236","X551236","X551236"
"X551493","L002125","L002178","L002178","L002178"
"10_155BT","X551051","X551236","X551236","X551236"
"10_155N","L002125","L002178","L002178","L002178"
"X551503","X552112","L002136","X552091","X552091"
"X551504","X552122","X552123","X552123","X552123"
"X551502","X552122","10_C11","X552123","X552123"
"X551501","X552122","X552123","X552123","X552123"
"X551500","X552122","X552123","X552123","X552123"
"X551497","X552112","L002136","X552091","X552091"
"X551505","X552122","X552123","X552123","X552123"
"X551498","X552112","X552091","X552091","X552091"
"X551499","X552122","X552123","X552123","X552123"
"10_A20BT","X552122","10_C11","X552123","X552123"
"X551535","X552124","L002320","L002320","L002320"
"X551543","X552124","X552088","L002320","L002320"
"X551537","X552124","L002320","L002320","L002320"
"X551542","X552124","L002320","L002320","L002320"
"X551539","10_128F","10_C38",NA,"10_128M"
"X551536","10_128F","10_C37",NA,"10_128M"
"X551538","10_128F","10_C37",NA,"10_128M"
"X551541","10_128F","10_C37",NA,"10_128M"
"X551613","X552124","L002320","L002320","L002320"
"X551540","10_128F","10_C37",NA,"10_128M"
"X551555","X552018","X552058","X552058","X552058"
"X551547","10_53F","10_C39","X552125","X552125"
"X551544","10_53F","X552125","X552125","X552125"
"X551546","10_53F","X552125","X552125","X552125"
"X551552","10_53F","X552125","X552125","X552125"
"X551551","X552018","X552080","X552058","X552058"
"X551553","10_53F","X552125","X552125","X552125"
"X551554","X552018","X552058","X552058","X552058"
"X551545","10_158F","X551131",NA,"10_158M"
"X551549","10_53F","X552125","X552125","X552125"
"X551550","10_53F","X552125","X552125","X552125"
"X551548","10_53F","X552125","X552125","X552125"
"X551512","X552074","X552070","X552070","X552070"
"X551508","X552074","X552070","X552070","X552070"
"X551507","X551051","X551236","X551236","X551236"
"X551515","X551051","X551236","X551236","X551236"
"X551511","X552074","X552070","X552070","X552070"
"X551513","X552074","X552070","X552070","X552070"
"X551514","X551051","X551236","X551236","X551236"
"X551510","X551051","X551236","X551236","X551236"
"X551509","X552074","X552070","X552070","X552070"
"X551506","X552074","X552070","X552070","X552070"
"X551521","L002125","L002178","L002178","L002178"
"X551520","L002125","P865490","L002178","L002178"
"X551516","X552074","X552070","X552070","X552070"
"X551517","L002125","L002178","L002178","L002178"
"X551524","L002125","L002178","L002178","L002178"
"X551525","X552074","X552070","X552070","X552070"
"X551522","L002125","P865490","L002178","L002178"
"X551523","X552074","X552070","X552070","X552070"
"X551519","X552074","X552070","X552070","X552070"
"X551518","10_77F","10_C36",NA,"10_77M"
"X551526","X552074","X552070","X552070","X552070"
"X551529","X552018","X552080","X552058","X552058"
"X551528","10_53F","X552125","X552125","X552125"
"X551530","10_53F","X552125","X552125","X552125"
"X551531","X552018","X552058","X552058","X552058"
"X551532","X552018","X552058","X552058","X552058"
"X551527","L002076","X552127","X552127","X552127"
"X551533","X552018","X552058","X552058","X552058"
"X551534","X552018","X552058","X552058","X552058"
"X551559","X552022","L002135","L002135","L002135"
"X551561","L002275","X551073","X551073","X551073"
"X551558","X552128","X552051","X552051","X552051"
"X551562","X552022","X552109","L002135","L002135"
"X551560","L002275","X551073","X551073","X551073"
"X551556","X552022","L002135","L002135","L002135"
"X551557","L002275","X551073","X551073","X551073"
"X551584","X552015","L002177","L002177","L002177"
"X551581","X552015","L002177","L002177","L002177"
"X551582","X552126","10_C12",NA,"10_A22M"
"10_A22LB","X552126","10_C12",NA,"10_A22M"
"X551583","X552015","X551351","L002177","L002177"
"X551580","X552126","10_C12",NA,"10_A22M"
"X551571","L002248","P865295","P865295","P865295"
"X551573","L002221","X552088","X552088","X552088"
"X551579","L002248","P865295","P865295","P865295"
"X551572","L002248","P865295","P865295","P865295"
"X551570","L002248","P865295","P865295","P865295"
"X551576","L002248","P865295","P865295","P865295"
"X551578","L002221","X552088","X552088","X552088"
"X551575","X552126","X552123",NA,"10_A22M"
"X551574","L002221","X552088","X552088","X552088"
"X551577","L002248","P865295","P865295","P865295"
"X551567","X551303","X552133","X552133","X552133"
"X551563","X551303","X552133","X552133","X552133"
"X551564","L002275","X551073","X551073","X551073"
"X551569","X551303","10_C40","X552133","X552133"
"X551568","L002275","X551073","X551073","X551073"
"X551565","X551303","X552133","X552133","X552133"
"X551566","X551303","X552133","X552133","X552133"
"X551586","P865325","X551016","L002029","L002029"
"X551588","P865325","L002029","L002029","L002029"
"X551585","X552128","X552051","X552051","X552051"
"X551592","P865325","L002029","L002029","L002029"
"X551587","X552128","X552051","X552051","X552051"
"X551590","X552128","X552051","X552051","X552051"
"X551591","P865325","X551016","L002029","L002029"
"X551589","X552128","X552051","X552051","X552051"
"X551627","L002184","X552127","X552133","X552133"
"X551631","L002184","X552127","X552133","X552133"
"X551630","L002076","X552127","X552127","X552127"
"X551626","L002076","X552127","X552127","X552127"
"X551629","L002184","X552133","X552133","X552133"
"10_31RB","L002184","X552133","X552133","X552133"
"X551628","L002076","X552127","X552127","X552127"
"10_41L","10_41F","L002093",NA,"10_41M"
"10_41R","10_41F","L002093",NA,"10_41M"
"10_41B","X552018","X552058","X552058","X552058"
"10_41LR","L002076","X552127","X552127","X552127"
