"id","dam","sire"
"""S00018-soc18""",NA,NA
"F00001-unb1",NA,NA
"F00010-unb10",NA,NA
"F00011-unb11",NA,NA
"F00013-unb13",NA,NA
"F00014-unb14",NA,NA
"F00015-unb15",NA,NA
"F00016-unb16",NA,NA
"F00017-unb17",NA,NA
"F00018-unb18",NA,NA
"F00019-unb19",NA,NA
"F00020-unb20",NA,NA
"F00021-unb21",NA,NA
"F00022-unb22",NA,NA
"F00023-unb23",NA,NA
"F00024-unb24",NA,NA
"F00025-unb25",NA,NA
"F00026-unb26",NA,NA
"F00027-unb27",NA,NA
"F00028-unb28",NA,NA
"F00005-unb5",NA,NA
"F00006-unb6",NA,NA
"F00007-unb7",NA,NA
"F00008-unb8",NA,NA
"F00009-unb9",NA,NA
"023871-RWG",NA,NA
"490356-MWR",NA,NA
"490363-OMN",NA,NA
"511363-BYM",NA,NA
"511360-MGY",NA,NA
"511361-YGY",NA,NA
"476403-BWG",NA,NA
"476401-ROW",NA,NA
"476402-_BG",NA,NA
"476405-BGO",NA,NA
"476407-BMB",NA,NA
"476406-BWB",NA,NA
"476404-_MO",NA,NA
"476408-MMN",NA,NA
"476410-BBR",NA,NA
"476409-BRR",NA,NA
"476411-BYR",NA,NA
"476412-BGR",NA,NA
"476413-BOR2",NA,NA
"476414-BRB",NA,NA
"476415-BBB",NA,NA
"476416-BYB",NA,NA
"476417-BGB",NA,NA
"476420-BRY",NA,NA
"476419-_NB",NA,NA
"476418-_OB",NA,NA
"529301-BBY",NA,NA
"529303-BGY",NA,NA
"529302-BYY",NA,NA
"529306-BGG",NA,NA
"529305-BOY",NA,NA
"529304-BYG",NA,NA
"529308-BRO",NA,NA
"529309-BBO",NA,NA
"529310-BNG",NA,NA
"529311-BOO",NA,NA
"529312-BYO",NA,NA
"529313-___11",NA,NA
"543805-OBR2",NA,NA
"543806-OGG2",NA,NA
"543804-OGY",NA,NA
"543801-OOO2",NA,NA
"543807-ORG",NA,NA
"543803-ORY",NA,NA
"543808-OYB",NA,NA
"543810-OGB",NA,NA
"543809-ORB",NA,NA
"529316-OBB",NA,NA
"529318-OGM",NA,NA
"529317-OGR",NA,NA
"529319-OMR2",NA,NA
"529320-OYM",NA,NA
"543755-MNR",NA,NA
"543751-OMM",NA,NA
"543753-OOB",NA,NA
"543752-OYR",NA,NA
"543754-___13",NA,NA
"543760-BMY1",NA,NA
"543759-OBM",NA,NA
"543758-OGO",NA,NA
"543761-ONN",NA,NA
"543757-OOB2",NA,NA
"543756-OOG",NA,NA
"543762-MMM",NA,NA
"543802-MYY2",NA,NA
"543764-MGB",NA,NA
"543766-MOB",NA,NA
"543812-MYB2",NA,NA
"543765-MYR2",NA,NA
"543167-OOO3",NA,NA
"543772-MBY",NA,NA
"543768-MGM5",NA,NA
"543774-MMY",NA,NA
"543770-MNY2",NA,NA
"543771-MOY",NA,NA
"543769-MRY",NA,NA
"543775-MGG",NA,NA
"543777-MYG",NA,NA
"543778-GBR",NA,NA
"543779-GNG",NA,NA
"543816-RBY2",NA,NA
"543815-YYB",NA,NA
"543814-___0",NA,NA
"543820-___1",NA,NA
"543818-___9",NA,NA
"S00001-soc01",NA,NA
"543781-RBR",NA,NA
"543780-RGY",NA,NA
"543783-ROM",NA,NA
"543785-RBY",NA,NA
"543784-RNG",NA,NA
"543786-RRB",NA,NA
"543787-RWB",NA,NA
"543791-RBG",NA,NA
"543792-RGW",NA,NA
"543788-RNM",NA,NA
"543790-RNO2",NA,NA
"543789-RYR",NA,NA
"543795-RGG",NA,NA
"543797-RGO",NA,NA
"543822-RMM2",NA,NA
"543794-RNN3",NA,NA
"543793-ROB",NA,NA
"543796-RRY",NA,NA
