code,population,taxa
btM,blue tits - Muro,bird
btP,blue tits - Pirio,bird
btR,blue tits - la Rouviere,bird
btD,blue tits - Dalmeny,bird
cfG,collared flycatchers - Gotland,bird
spM,song sparrows - Mandarte Island,bird
hsL,house sparrow - Lundy,bird
sfC,superb fairy-wrens - Canberra,bird
mkK,meerkats - Kalahari,mammal
svG,snow voles - Graubunden,mammal
hhT,hihi - Tiritiri Matangi Island,bird
hhK,hihi - Karori,bird
bsR,bighorn sheep - Ram Mountain,mammal
rdR,red deer - Rum,mammal
rmC,rhesus macaques - Cayo Santiago,mammal
rsK,red squirrels - Kluane,mammal
shN,spotted hyenas - Ngorongoro Crater,mammal
ssS,Soay sheep - St Kilda,mammal
ybA,yellow baboons - Amboseli,mammal
gtH,great tits - Hoge Veluwe,bird
gtW,great tits - Wytham Woods,bird
