study ID,method 2,h2,SE of h2
1,parent-offspring regression,0.729,0.134
1,parent-offspring regression,0.501,0.144
1,parent-offspring regression,0.695,0.095
1,parent-offspring regression,0.939,0.114
1,parent-offspring regression,0.137,0.162
1,parent-offspring regression,0.183,0.182
1,parent-offspring regression,0.768,0.218
1,parent-offspring regression,1.086,0.174
1,parent-offspring regression,0.414,0.236
1,parent-offspring regression,0.432,0.204
1,parent-offspring regression,0.439,0.139
1,parent-offspring regression,0.573,0.119
1,parent-offspring regression,0.512,0.14
1,parent-offspring regression,-0.087,0.168
1,parent-offspring regression,0.564,0.234
1,parent-offspring regression,0.702,0.13
1,parent-offspring regression,0.9,0.236
1,parent-offspring regression,0.518,0.228
1,parent-offspring regression,0.611,0.163
1,parent-offspring regression,0.682,0.19
1,parent-offspring regression,0.206,0.188
1,parent-offspring regression,0.327,0.133
1,parent-offspring regression,0.392,0.238
1,parent-offspring regression,0.278,0.258
1,parent-offspring regression,0.4,0.256
1,parent-offspring regression,0.487,0.181
1,parent-offspring regression,0.195,0.284
1,parent-offspring regression,0.486,0.192
1,parent-offspring regression,0.462,0.166
1,parent-offspring regression,0.644,0.186
1,parent-offspring regression,0.494,0.194
1,parent-offspring regression,1.08,0.21
1,parent-offspring regression,0.562,0.172
1,parent-offspring regression,0.654,0.176
1,parent-offspring regression,0.226,0.238
1,parent-offspring regression,0.56,0.204
2,animal model,0.461,0.137
2,parent-offspring regression,0.39,0.123
2,animal model,0.322,0.13
2,parent-offspring regression,0.974,0.114
2,parent-offspring regression,0.724,0.107
2,parent-offspring regression,0.762,0.092
2,animal model,0.551,0.05
2,animal model,0.674,0.082
2,parent-offspring regression,0.677,0.115
2,animal model,0.267,0.093
2,parent-offspring regression,0.468,0.14
2,animal model,0.717,0.034
2,animal model,0.711,0.084
2,animal model,0.836,0.077
2,animal model,0.326,0.113
2,animal model,0.477,0.33
2,animal model,0.716,0.107
2,parent-offspring regression,0.435,0.137
2,animal model,0.727,0.112
2,animal model,0.808,0.086
2,animal model,0.2,0.114
2,animal model,0.054,0.098
2,animal model,0.065,0.122
2,parent-offspring regression,0.066,0.164
3,parent-offspring regression,0.53,0.23
3,parent-offspring regression,0.53,0.1
3,parent-offspring regression,0.57,0.16
3,parent-offspring regression,0.63,0.15
4,parent-offspring regression,0.52,0.035
5,parent-offspring regression,0.78,0.3
5,parent-offspring regression,0.84,0.15
5,parent-offspring regression,0.91,0.32
5,parent-offspring regression,0.68,0.12
5,parent-offspring regression,0.86,0.23
5,parent-offspring regression,1.05,0.14
5,parent-offspring regression,0.41,0.2
5,parent-offspring regression,0.44,0.32
5,parent-offspring regression,0.62,0.28
6,animal model,0.06,0.03
6,animal model,0.22,0.21
6,animal model,0.03,0.02
6,animal model,0.04,0.09
6,animal model,0.26,0.12
6,animal model,0,
7,parent-offspring regression,0.35,0.16
7,parent-offspring regression,-0.22,
7,parent-offspring regression,-0.14,
7,parent-offspring regression,-0.11,
7,parent-offspring regression,0.1,
7,parent-offspring regression,0.15,
7,parent-offspring regression,0.31,
7,parent-offspring regression,0.02,
7,parent-offspring regression,0.06,
7,parent-offspring regression,0.37,
7,parent-offspring regression,-0.14,
7,parent-offspring regression,-0.06,
7,parent-offspring regression,-0.06,
7,parent-offspring regression,-0.17,
7,parent-offspring regression,-0.07,
7,parent-offspring regression,-0.05,
8,animal model,0.217,0.048
9,animal model,0.017,0.321
9,animal model,0.222,0.315
9,animal model,0.517,0.33
9,animal model,0.303,0.375
9,animal model,0.482,0.276
9,animal model,0.545,0.274
9,animal model,0.529,0.255
9,animal model,0.525,0.359
9,animal model,0.731,0.358
9,animal model,0.474,0.113
9,animal model,0.682,0.406
9,animal model,0.746,0.26
9,animal model,0.518,0.316
9,animal model,0.336,0.117
9,animal model,0.689,0.39
9,animal model,0.72,0.283
9,animal model,0.292,0.276
9,animal model,0.118,0.063
9,animal model,0.072,0.188
10,animal model,0.129,0.034
10,animal model,0.386,0.121
10,animal model,0.128,0.094
10,animal model,0.263,0.092
10,animal model,0.321,0.106
11,animal model,0.269,0.13
11,animal model,0.205,0.134
11,animal model,0.145,0.161
11,animal model,0.378,0.081
11,animal model,0.425,0.08
11,animal model,0.358,0.101
12,animal model,0.21,0.07
12,animal model,0.08,0.041
13,parent-offspring regression,-0.01,0.45
13,parent-offspring regression,0.02,0.37
13,parent-offspring regression,0.14,0.32
13,full-sib,0.56,0.39
13,parent-offspring regression,0.79,0.09
13,parent-offspring regression,0.87,0.15
13,parent-offspring regression,1.03,0.19
13,full-sib,1.12,0.17
13,parent-offspring regression,0.04,0.33
13,full-sib,0.3,0.39
13,parent-offspring regression,0.32,0.24
13,parent-offspring regression,0.65,0.15
13,parent-offspring regression,0.75,0.27
13,parent-offspring regression,0.92,0.17
13,full-sib,1.11,0.17
13,parent-offspring regression,1.29,0.3
13,parent-offspring regression,-0.18,0.7
13,parent-offspring regression,0.34,0.42
13,parent-offspring regression,0.44,0.41
13,full-sib,0.56,0.39
13,parent-offspring regression,0.9,0.1
13,parent-offspring regression,0.96,0.17
13,full-sib,0.99,0.18
13,parent-offspring regression,1.02,0.22
13,parent-offspring regression,-0.17,0.34
13,full-sib,0.06,0.38
13,parent-offspring regression,0.35,0.1
13,parent-offspring regression,0.37,0.14
13,parent-offspring regression,0.55,0.18
13,parent-offspring regression,0.6,0.2
13,parent-offspring regression,0.62,0.22
13,full-sib,0.64,0.2
13,parent-offspring regression,0.11,0.42
13,parent-offspring regression,0.12,0.26
13,parent-offspring regression,0.19,0.42
13,full-sib,0.35,0.39
13,full-sib,0.42,0.2
13,parent-offspring regression,0.61,0.17
13,parent-offspring regression,0.82,0.24
13,parent-offspring regression,0.84,0.14
13,full-sib,0.32,0.2
13,parent-offspring regression,0.61,0.19
13,parent-offspring regression,0.61,0.13
13,parent-offspring regression,0.71,0.1
13,full-sib,0.88,0.35
13,parent-offspring regression,0.92,0.23
13,parent-offspring regression,0.94,0.39
13,parent-offspring regression,1.26,0.36
13,parent-offspring regression,0.14,0.58
13,full-sib,0.35,0.39
13,parent-offspring regression,0.37,0.32
13,parent-offspring regression,0.58,0.39
13,full-sib,0.78,0.19
13,parent-offspring regression,0.81,0.17
13,parent-offspring regression,0.91,0.09
13,parent-offspring regression,0.95,0.22
14,parent-offspring regression,0.84,0.23
14,parent-offspring regression,0.74,0.26
14,parent-offspring regression,1.1,0.42
14,full-sib,0.8,0.38
14,parent-offspring regression,0.53,0.37
14,parent-offspring regression,0.38,0.36
14,parent-offspring regression,0.97,0.49
14,full-sib,0.65,0.41
14,parent-offspring regression,0.43,0.22
14,parent-offspring regression,0.46,0.31
14,parent-offspring regression,0.38,0.3
14,full-sib,0.27,0.44
14,parent-offspring regression,0.62,0.22
14,parent-offspring regression,0.75,0.3
14,parent-offspring regression,1.17,0.32
14,full-sib,1.34,0.25
14,parent-offspring regression,0.82,0.15
14,parent-offspring regression,0.94,0.23
14,parent-offspring regression,0.95,0.26
14,full-sib,1.41,0.23
14,parent-offspring regression,0.95,0.19
14,parent-offspring regression,1.06,0.27
14,parent-offspring regression,1.09,0.42
14,full-sib,0.99,0.35
14,parent-offspring regression,0.48,0.32
14,parent-offspring regression,0.61,0.26
14,parent-offspring regression,0.15,0.32
14,full-sib,0.78,0.39
15,animal model,0.57,0.19
15,animal model,0.86,0.13
15,animal model,0.46,0.19
15,animal model,0.63,0.11
15,animal model,0.81,0.22
16,parent-offspring regression,0.72,0.232
17,animal model,0.041,0.038
17,animal model,0.145,0.04
18,animal model,0.087,0.088
18,animal model,0,0.005
19,animal model,0.037,0.02
19,animal model,0.043,0.016
20,animal model,0.11,0.013
21,animal model,0.04,0.017
22,parent-offspring regression,0.04,0.28
22,parent-offspring regression,0.83,0.24
22,parent-offspring regression,0.37,0.23
22,parent-offspring regression,0,0.25
23,animal model,0.2,0.12
23,animal model,0.43,0.07
24,animal model,0.045,0.051
24,animal model,0.289,0.05
24,animal model,0.467,0.063
24,animal model,0.635,0.185
25,animal model,0.531,0.138
25,animal model,0.909,0.088
26,animal model,0.002,0.054
27,animal model,0.195,0.058
27,animal model,0,
28,animal model,0.083,0.049
28,animal model,0.088,0.04
29,animal model,0.76,0.25
29,animal model,0.32,0.13
